feature,importance
goodorder_vs_actiontype_1_ratio,0.02382860399137257
isOrder,0.016410930069538116
total_good_order_ratio,0.015735270467841095
has_good_order,0.014108887580414788
goodorder_vs_actiontype_5_ratio,0.009251571085116475
finalAction_4,0.007673429634692603
action_type_511_time_delta_min,0.007291241816975471
finalAction_8,0.005824214945732879
action_type_511_time_delta_max,0.005680290758397706
goodorder_vs_actiontype_6_ratio,0.005289336217768049
type_1to4valuemean,0.004750559286152405
histord_sum_cont4,0.00470831304724373
age_lg90,0.00466117526589914
three_gram_789_last_time,0.004651794892509284
three_gram_789_time_mean,0.004644137613388635
action_type_710_time_delta_min,0.004530285974794174
three_gram_456_time_min,0.004476337744410424
three_gram_action_456_ratio,0.004398375151771327
pay_money_min_delta,0.004379598412960083
three_gram_123_time_mean,0.0043685768350928845
two_gram_23_time_std,0.004353810244482695
histord_sum_cont3,0.0043121708356917785
pay_money_std_delta,0.004290638334020483
last2_action_pay_money_time_delta,0.004284291017427963
actiontimespanlast_7_8,0.004283955398586621
three_gram_789_time_min,0.004279474226185537
three_gram_789_time_max,0.004231204493371557
pay_money_max_delta,0.0042305201788780085
three_gram_action_123_ratio,0.004207392614357529
type_5to1valuemean,0.004198482442310017
actiontypeproplast20_4,0.004194484653331397
pay_money_mean_delta,0.004184532806766939
action_4_num_after_last_order,0.004174030193039569
type_5to1valueamin,0.004079352652157602
type_5to3valuemean,0.004053997297115458
actiontypeproplast20_3,0.0039867192399506805
days_ratio_since_last_order,0.003919766088533471
nearestDiff_mean4,0.003905429379320036
type_5to3valueamin,0.003894507309910663
finalAction_3,0.0038665702968238053
histord_sum_cont1,0.0038345181183588903
two_gram_12_time_std,0.00380123295481428
submit_order_min_delta,0.003706609498086639
actiontypeprop_4,0.003706133462628995
pay_money_ratio,0.0036702588369327206
nearestDiff_mean9,0.003607282721792724
month_9_count,0.003585074889171481
browse_product_min_delta,0.003555650381092276
browse_product2_max_delta,0.003534042754588043
three_gram_456_time_max,0.003523463331139882
action_8_num_after_last_order,0.0034728267795861526
nearestDiff_mean8,0.0034492825108534916
finalAction_7,0.00343723691513711
action_type_210_time_delta_min,0.003424448552033819
actiontypeproplast20_2,0.003422623220487137
actiontypeproplast20_9,0.003392570808692519
fillin_form7_min_delta,0.0033386630222066523
201704,0.0033004226151199514
histord_sum_cont2,0.003294486081685168
action_type_67_time_delta_std,0.003294155481351684
order_vs_actiontype_4_ratio,0.0032295657801068565
age_lg70,0.003217636696887959
browse_product_max_delta,0.003211470097310502
type_first1,0.0031993860073896174
two_gram_12_last_time,0.003191891181378427
last_fillin_form7_action_count,0.003178764223868074
last_pay_money_now_submit_order_ratio,0.0031776756286031847
last_time_order_now_action_fillin_form6_count,0.003152946000690397
actiontimespanlast_5_6,0.003141902009804814
action_type_58_time_delta_std,0.0031326509236121207
two_gram_last_sum,0.003129461089633471
nearestDistance1,0.003108377235293604
two_gram_action_23_ratio,0.003088574796570278
country_rich,0.0030730213892912906
actiontime_last_1_month,0.0030704530737833144
two_gram_12_time_max,0.003065799053139606
browse_product3_ratio,0.00302180889948624
nearestInterval_var7,0.003011244369137128
two_gram_action_89_ratio,0.0030095253496555344
two_gram_45_time_max,0.0030009670565120192
nearestDiff_var7,0.002991932057675677
actiontimespancount_6_7,0.002982180402899924
action_type_68_time_delta_std,0.0029717274324740374
last_pay_money_now_browse_product2_ratio,0.0029641876553588
nearestActiontime9,0.0029612630415723333
submit_order_std_delta,0.0029505594588540053
last_fillin_form6_action_count,0.0029285631690571653
nearestTime7,0.00290840521396506
type_4to2valuemean,0.002902933967173954
nearestDiff_min7,0.0028843591712102465
last_pay_money_now_fillin_form6_ratio,0.002854760594391185
tags_score,0.0028530674564757356
type_3to4valuemean,0.00283579061635438
nearestDistance7,0.0028230102009472553
action_type_610_time_delta_std,0.002811293054077043
action_9_num_after_last_order,0.002796634270650589
action_type_45_time_delta_mean,0.002771359874228346
month_8_count,0.0027658349993150396
browse_product3_min_delta,0.0027493844658481622
month_10_count,0.0027367892182687636
action_type_45_time_delta_last3,0.002725219961524668
browse_num_after_last_order,0.002724285706985983
country_avg_rich,0.0027046132587668597
commentsKeyWords_score,0.0027039149052656077
avg_days_between_order,0.0026921669405099717
actiontype_seq_kalman_real_1,0.002684908251534597
last_time_city,0.0026749313896804773
action_type_610_time_delta_min,0.002674806669358095
action_type_110_time_delta_std,0.0026433120192506784
nearestDiff_mean3,0.0026397122382410608
action_type_56_time_delta_min,0.002638604888753891
action_type_58_time_delta_min,0.0026206664159258057
nearestDiff_mean2,0.0026158553093656176
actiontimespancount_5_6,0.0026053351483333546
actiontype_lasttime_9,0.0025829308636127696
two_gram_23_time_min,0.002573091736393677
type_3to4valueamin,0.002565513208127265
last_time_order_now_action_browse_product_count,0.0025600226847368054
nearestInterval_min4,0.002558236856042806
action_type_45_time_delta_last2,0.0025529646640027773
last_pay_money_now_fillin_form5_ratio,0.002550034642828194
browse_product3_pay_money_ratio,0.002543120391980761
nearestInterval_var8,0.002539776577407557
last_pay_money_now_browse_product_ratio,0.0025117587729745687
action_5_num_after_last_order,0.002501426648253681
last2_action_browse_product2_time_delta,0.002490843599821623
last_browse_product2_action_count,0.00247723124264327
submit_order_max_delta,0.002472531411329276
actiontimespanlast_6_7,0.0024562874176837484
type_2to1valueamin,0.002454858493800195
type_last1,0.0024502822009254124
action_type_810_time_delta_max,0.002447095918613254
two_gram_89_time_max,0.0024465376924779516
type_4to2valueamin,0.002443717220339849
order_vs_actiontype_9_ratio,0.002443374858909103
actiontypeprop_mean,0.002442192249149997
action_last_1,0.002427291896969101
last_action_fillin_form6_time_delta,0.002422717657033876
raing2_ratio,0.002408240482834448
last_time_order_now_action_browse_product2_count,0.0023823373306275574
browse_product2_ratio,0.00234090424584907
browse_product2_pay_money_ratio,0.0023337231301291477
type_2to1valuemean,0.002328413132565215
submit_order_pay_money_ratio,0.002320004514836847
action_2_num_after_last_order,0.002306476685969663
order_vs_actiontype_8_ratio,0.002297565346716618
nearestDistance6,0.002295084626897444
count_234_5_rate,0.0022898822686983635
last_fillin_form5_action_count,0.0022710776356329584
city_avg_rich,0.002261448259731067
last_time_order_now_action_submit_order_count,0.0022572896718706385
nearestDiff_min9,0.0022170403234449973
nearestTime5,0.002194702899609817
avg_operate_num_after_last_order,0.0021641597187578316
last_action_submit_order_time_delta,0.002162571532077649
nearestActiontime4,0.0021574151700870974
timespan_lastord_2_3,0.0021548342287961847
action_type_510_time_delta_max,0.0021344269018707023
browse_product2_mean_delta,0.0021258419849353866
two_gram_45_last_time,0.002112290982503476
month_2_count,0.002111257433165174
submit_order_mean_delta,0.002109509725250294
nearestDistance5,0.002103664859471047
type_1to2valueamin,0.0021024844092162784
nearestInterval_min9,0.0020899852126889666
has_comment_flag,0.002070624613999832
last2_action_fillin_form7_time_delta,0.0020082384730153516
actiontypeprop_3,0.0020079401188753754
browse_product_std_delta,0.002003804711093495
action_last_20,0.001992349089442205
nearestInterval_mean3,0.001991840234558672
last_action_fillin_form5_time_delta,0.001988851488193239
action_type_68_time_delta_min,0.0019853648812947332
actiontypeproplast20_6,0.001979723102596554
nearestInterval_min3,0.0019776367690731577
order_vs_actiontype_3_ratio,0.0019723791080058
action_type_67_time_delta_min,0.0019682577207715255
actiontype_lasttime_24,0.0019568391014712205
last_-1_x_actiontype,0.001956003253031727
action_last_6,0.0019381401938018054
nearestDiff_var9,0.0019220508439003487
browse_product_pay_money_ratio,0.0019200611414243467
type_3to3valueamin,0.0019029734241453765
nearestInterval_min7,0.0019013111091852064
two_gram_45_time_mean,0.0018984563102297997
201702,0.0018949082400954466
last_action_browse_product_time_delta,0.0018929061319069777
age_lg80,0.0018926778041384949
last_pay_money_now_fillin_form7_ratio,0.0018916795088637693
type_3to2valuemean,0.0018721104821280603
nearestInterval_var9,0.00187183139218366
month_1_count,0.0018655184343032909
two_gram_action_45_ratio,0.0018600396924246386
finalAction_1,0.001853919312377833
finalAction_rate_1,0.0018483316830988114
order_vs_actiontype_6_ratio,0.0018471283865890457
nearestDiff_var2,0.0018450148596595248
action_6_num_after_last_order,0.0018351548989063793
nearestDistance3,0.0018335222795693047
nearestTime4,0.001830360012029471
action_type_67_time_delta_max,0.001827272132122643
timespan_action8tolast,0.0018188084811625105
type_3to2valueamin,0.0018157440015621317
action_type_810_time_delta_min,0.001809506115679928
browse_product2_min_delta,0.0017964113611773783
action_type_510_time_delta_min,0.0017947274225671161
action_type_510_time_delta_mean,0.0017937639080319423
two_gram_23_time_mean,0.0017847606973911334
avg_rating,0.001757384091600259
action_type_67_time_delta_mean,0.0017565376210816393
tags_score_last_order,0.001749776157171153
last_browse_product3_action_count,0.001734003956005803
type_2to2valueamin,0.0017338940892633842
actiontype_seq_kalman_real_0,0.0017317201408830981
action_type_910_time_delta_min,0.001724370024224641
type_4to4valuemean,0.00171867595300246
actiontime_last_1,0.001718002641903476
two_gram_45_time_std,0.0017156463821681584
nearestActiontime3,0.001715548703863434
action_type_68_time_delta_max,0.001712119218265396
commentsKeyWords_score_last_order,0.001711333765081936
actiontimespanlast_5_7,0.001692700877109051
finalAction_5,0.0016914084759763694
nearestInterval_min5,0.0016821909106377625
actiontypeprop_9,0.001678485519624246
three_gram_567_time_std,0.0016646767534069155
actiontypeproplast20_8,0.001662738647048057
order_vs_actiontype_5_ratio,0.0016491979414279391
histord_time_last_1_month,0.0016486429761639453
raing3_ratio,0.0016327928313721505
action_1_num_after_last_order,0.0016232877697917678
nearestInterval_mean9,0.0016226992674029943
histord_time_last_1_year,0.001616353128596801
actiontime_lasttime_mean,0.0016160305348331264
nearestDiff_var8,0.0016144916350722294
browse_product3_mean_delta,0.0016069386056602546
last2_action_submit_order_time_delta,0.0016053823332188289
action_last_2,0.0015882019112095798
browse_product3_max_delta,0.0015870776685631136
month_3_count,0.0015840474294530889
action_counts,0.0015813861441684222
month_12_count,0.0015581699639072991
action_type_710_time_delta_mean,0.0015572688153701166
open_num_after_last_order,0.0015568076713258544
nearestInterval_min8,0.0015557636731750504
type_1to2valuemean,0.0015548571332369607
raing4_ratio,0.0015467114103201564
201611,0.0015453588766300406
nearestDiff_mean7,0.00154238699640605
last_time_order_weekofyear,0.0015314209106796785
nearestActiontime8,0.0015270104141410867
nearestActiontime2,0.0015228164907589794
last_order_timestamp_from_now_delta_vs_last_ratio,0.0015161802083753994
user_rating_std,0.0015089046252928198
nearestDiff_max9,0.0015073362865786776
fillin_form7_max_delta,0.0014972564835350423
fillin_form7_pay_money_ratio,0.0014967203233302467
last2_action_fillin_form5_time_delta,0.0014958370091481639
type_4to1valuemean,0.0014927922925116503
actiontime_last_2,0.0014855785379033534
province_code,0.0014783844670793567
avg_rating_type0,0.001476083380804714
browse_product_mean_delta,0.0014754325208600025
month_4_count,0.0014637919209739357
month_11_count,0.0014584287109793085
finalAction_rate_5,0.0014542143758742895
nearestInterval_min2,0.0014384783286451122
last_action_pay_money_time_delta,0.0014383614948244234
last_time_order_month,0.0014295015659147262
count_234_9_rate,0.0014289918287767797
order_vs_actiontype_2_ratio,0.0014156541500862097
nearestTime2,0.001413080784309105
last_order_timestamp,0.0014107716814934855
last_action_browse_product2_time_delta,0.0014082628498596735
timespan_action5tolast,0.0014069642627583473
last2_action_fillin_form6_time_delta,0.0014050849057439872
two_gram_12_time_mean,0.0014030249108911875
last_time_country,0.0014011152319337431
avg_browse_num_after_last_order,0.0013974843845855583
city_rich,0.0013895483147381464
submit_order_ratio,0.0013812094372816137
rating,0.0013771185153515489
last2_action_browse_product3_time_delta,0.0013752053519154406
234_9_diff_time,0.001370497016471829
finalAction_6,0.0013701903981421966
order_vs_actiontype_7_ratio,0.0013487146609166664
timespan_action24tolast,0.0013483206827587086
last_time_order_now_action_open_app_count,0.001348211251359702
actiontypeprop_8,0.0013360523146213053
nearestTime9,0.0013307776617584703
last_action_browse_product3_time_delta,0.0013278906228048472
last_browse_product_action_count,0.0013258136124026615
timespanmin_last_3,0.0013107818540243634
nearestInterval_var6,0.0013094990542939823
action_type_56_time_delta_mean,0.00130017181252938
nearestDiff_max2,0.0012961584363582453
nearestDiff_min8,0.0012957859309871444
type_4to3valueamin,0.0012944514645404264
actiontimespanlast_5_8,0.0012943272265890694
three_gram_567_last_time,0.0012923071325739788
action_type_58_time_delta_mean,0.0012860171087161326
nearestInterval_mean6,0.0012711634825878766
finalAction_2,0.0012654173079811714
action_type_56_time_delta_last3,0.00126362923039493
last_time_order_now_action_browse_product3_count,0.001254617107589559
raing1_ratio,0.001252103650453869
action_last_4,0.001251738770331422
browse_product3_std_delta,0.0012461067668487233
fillin_form6_std_delta,0.0012321058975860151
action_type_68_time_delta_mean,0.0012307419578300924
fillin_form6_min_delta,0.001220489028386557
nearestDistance4,0.0012201579508521602
actiontype_seq_kalman_min,0.0012163386113329285
browse_product2_std_delta,0.0012135830391994864
