feature,covers
goodorder_vs_actiontype_1_ratio,6135.903333333333
isOrder,4432.517802083333
total_good_order_ratio,4266.51544736842
has_good_order,3884.0831451612908
goodorder_vs_actiontype_5_ratio,2686.31290909091
finalAction_4,2356.284846857141
action_type_511_time_delta_min,2233.6549999999997
finalAction_8,1840.88
action_type_511_time_delta_max,1712.055
goodorder_vs_actiontype_6_ratio,1608.6178571428568
type_1to4valuemean,1506.2333333333333
histord_sum_cont4,1492.2749350649353
age_lg90,1476.0568539325839
three_gram_789_last_time,1474.88
three_gram_789_time_mean,1471.6080000000002
action_type_710_time_delta_min,1436.7284210526313
three_gram_456_time_min,1419.8
three_gram_action_456_ratio,1394.223068965517
pay_money_min_delta,1388.915
three_gram_123_time_mean,1385.4499999999998
two_gram_23_time_std,1380.6634999999999
histord_sum_cont3,1367.289
pay_money_std_delta,1360.62
last2_action_pay_money_time_delta,1358.490522580645
actiontimespanlast_7_8,1357.62
three_gram_789_time_min,1357.37
three_gram_789_time_max,1341.2842105263157
pay_money_max_delta,1340.9
three_gram_action_123_ratio,1335.17
type_5to1valuemean,1331.6599999999999
pay_money_mean_delta,1325.67
actiontypeproplast20_4,1321.7326260869565
action_4_num_after_last_order,1314.1346802631579
type_5to1valueamin,1293.5583333333332
type_5to3valuemean,1284.9886999999997
actiontypeproplast20_3,1266.325
days_ratio_since_last_order,1240.0209222222225
type_5to3valueamin,1233.6310869565218
finalAction_3,1226.3397499999999
nearestDiff_mean4,1224.2500789473681
histord_sum_cont1,1215.6782428571428
two_gram_12_time_std,1205.7376923076922
submit_order_min_delta,1174.393923076923
pay_money_ratio,1163.3116444444447
nearestDiff_mean9,1142.89730125
actiontypeprop_4,1137.7755568627442
month_9_count,1135.849714285714
browse_product_min_delta,1125.0474784313726
browse_product2_max_delta,1119.3136666666667
three_gram_456_time_max,1118.23
action_8_num_after_last_order,1096.5655542372883
nearestDiff_mean8,1091.3146533898305
action_type_210_time_delta_min,1085.2455
actiontypeproplast20_2,1084.4314
finalAction_7,1083.829
actiontypeproplast20_9,1075.6955
fillin_form7_min_delta,1057.990356
201704,1045.740194871795
histord_sum_cont2,1044.91
action_type_67_time_delta_std,1043.1615634615384
order_vs_actiontype_4_ratio,1020.8706250000001
age_lg70,1019.3212400000001
browse_product_max_delta,1015.0287440000003
two_gram_12_last_time,1011.3137470588235
type_first1,1011.2286333333333
last_pay_money_now_submit_order_ratio,1005.9667999999999
last_fillin_form7_action_count,999.901211627907
action_type_58_time_delta_std,991.8569291666666
last_time_order_now_action_fillin_form6_count,980.0671725423715
two_gram_action_23_ratio,978.0815454545456
two_gram_12_time_max,971.5301933333333
actiontime_last_1_month,966.763872815534
two_gram_action_89_ratio,952.807888888889
two_gram_45_time_max,945.8892000000001
actiontimespanlast_5_6,944.901555402425
nearestInterval_var7,942.5259680000001
action_type_68_time_delta_std,940.623777777778
nearestActiontime9,937.3719307692307
last_pay_money_now_browse_product2_ratio,936.991625
nearestDiff_var7,934.7498198581563
submit_order_std_delta,933.7647999999999
actiontimespancount_6_7,932.4397647577092
browse_product3_ratio,931.1874378378376
two_gram_last_sum,923.9598782383416
last_fillin_form6_action_count,923.7100728395066
type_4to2valuemean,917.5745961038957
nearestTime7,910.7148717391304
last_pay_money_now_fillin_form6_ratio,903.9047986301371
tags_score,902.1512355072463
action_type_610_time_delta_std,890.42175
nearestDistance7,884.9254220000003
action_9_num_after_last_order,882.749
nearestDiff_min7,878.1359290756309
month_8_count,875.5880625000001
action_type_45_time_delta_mean,875.1645058823531
country_rich,871.1450412162162
browse_product3_min_delta,868.2179877192983
month_10_count,866.8623818181819
nearestDistance1,863.377689156627
action_type_45_time_delta_last3,860.3694714285717
browse_num_after_last_order,858.60394
commentsKeyWords_score,853.9665592857141
avg_days_between_order,851.07276
type_3to4valuemean,850.994492625111
actiontype_seq_kalman_real_1,848.6089246913584
action_type_610_time_delta_min,844.9303232876714
last_time_city,844.6257010582008
nearestDiff_mean3,835.7487522727274
action_type_110_time_delta_std,835.6090222222223
action_type_58_time_delta_min,828.078696153846
nearestDiff_mean2,826.5879402298849
country_avg_rich,821.4674782758618
actiontype_lasttime_9,816.7791256410259
two_gram_23_time_min,814.3212000000001
action_type_56_time_delta_min,814.226258075042
action_type_45_time_delta_last2,807.3099125
last_time_order_now_action_browse_product_count,807.1510999999999
last_pay_money_now_fillin_form5_ratio,804.855922580645
nearestInterval_var8,803.3336969230768
last_pay_money_now_browse_product_ratio,794.8426666666668
actiontimespancount_5_6,793.6507487425165
action_5_num_after_last_order,790.7305666666666
last2_action_browse_product2_time_delta,788.2300695652174
nearestInterval_min4,785.6836292307689
last_browse_product2_action_count,782.421511111111
submit_order_max_delta,782.1370000000001
type_3to4valueamin,781.1329639759049
type_2to1valueamin,776.8615045977009
action_type_810_time_delta_max,772.879042857143
type_4to2valueamin,772.4025357142856
actiontypeprop_mean,772.24145625
order_vs_actiontype_9_ratio,771.7195047619047
browse_product3_pay_money_ratio,771.3560412280698
two_gram_89_time_max,770.36275
actiontimespanlast_6_7,760.3948594470049
last_action_fillin_form6_time_delta,758.8355253687315
last_time_order_now_action_browse_product2_count,753.098094117647
raing2_ratio,752.4159404761905
browse_product2_ratio,740.57864375
browse_product2_pay_money_ratio,738.092875
type_2to1valuemean,735.7104023529414
type_last1,731.0090892857143
action_last_1,730.5182504424782
submit_order_pay_money_ratio,729.263
order_vs_actiontype_8_ratio,726.3994044444445
action_2_num_after_last_order,725.7194999999999
nearestDistance6,720.2427178082194
count_234_5_rate,718.4429889400917
last_fillin_form5_action_count,711.9560817307691
last_time_order_now_action_submit_order_count,711.3112833333334
city_avg_rich,707.9084909589043
nearestDiff_min9,700.32797
timespan_lastord_2_3,681.062875
last_action_submit_order_time_delta,680.8388650602411
nearestActiontime4,679.8379374999998
nearestTime5,679.8126444720486
avg_operate_num_after_last_order,672.6591045454547
action_type_510_time_delta_max,672.2940372093024
browse_product2_mean_delta,671.8725416666667
month_2_count,668.2304
submit_order_mean_delta,664.77775
two_gram_45_last_time,664.6475777777778
type_1to2valueamin,664.4885165354331
nearestInterval_min9,660.6650625
nearestDistance5,660.3723142857143
has_comment_flag,645.4354819999998
actiontypeprop_3,634.7428055555555
last2_action_fillin_form7_time_delta,634.4877
browse_product_std_delta,632.8427368421053
action_last_20,629.7269195121952
nearestInterval_mean3,628.1327904761905
action_type_68_time_delta_min,625.4616166666667
nearestInterval_min3,623.952221875
order_vs_actiontype_3_ratio,621.887
actiontypeproplast20_6,620.6483331797241
last_action_fillin_form5_time_delta,617.8677176100625
actiontype_lasttime_24,617.6981928571428
action_type_67_time_delta_min,612.976241353383
action_last_6,612.3786841463417
nearestDiff_var9,607.7890142857143
browse_product_pay_money_ratio,605.7011807017543
age_lg80,598.944
last_action_browse_product_time_delta,597.3291079365079
last_pay_money_now_fillin_form7_ratio,597.2650611111111
201702,596.454
two_gram_45_time_mean,594.6482055555555
type_3to2valuemean,591.4801258620691
nearestInterval_var9,589.68775
last_-1_x_actiontype,587.0542445561134
type_3to3valueamin,585.1909074842204
month_1_count,585.0676461538461
finalAction_1,582.7033226277375
order_vs_actiontype_6_ratio,582.2125489795919
nearestDiff_var2,582.0124938053098
nearestDistance3,578.5382166666667
nearestInterval_min7,576.638790607735
type_3to2valueamin,572.8628670212765
action_type_810_time_delta_min,571.3163333333333
action_6_num_after_last_order,571.1036828571428
action_type_67_time_delta_max,570.6123492163011
finalAction_rate_1,570.2882500000001
timespan_action8tolast,569.4537148900176
browse_product2_min_delta,569.407
nearestTime4,568.5061681818182
two_gram_action_45_ratio,565.111134328358
two_gram_23_time_mean,562.67752
action_type_510_time_delta_mean,561.441390058479
action_type_510_time_delta_min,560.8095671497587
tags_score_last_order,549.5560366666666
avg_rating,549.2225870646768
action_type_67_time_delta_mean,547.6883938650308
type_2to2valueamin,546.8178810344828
actiontype_seq_kalman_real_0,544.3755848484849
action_type_910_time_delta_min,543.4549999999999
nearestActiontime3,541.482352173913
last_browse_product3_action_count,541.2382909090907
commentsKeyWords_score_last_order,539.52684
action_type_68_time_delta_max,538.8517828571428
type_4to4valuemean,534.6453110364675
actiontime_last_1,533.9125786982245
actiontimespanlast_5_7,532.3375328000002
actiontypeprop_9,530.45124
finalAction_5,527.6158644927536
actiontypeproplast20_8,522.8813
nearestInterval_min5,521.8378576377938
three_gram_567_time_std,521.7931384615384
two_gram_45_time_std,520.6313588235294
order_vs_actiontype_5_ratio,518.9207234848485
histord_time_last_1_month,516.71618
nearestInterval_mean9,511.3954416666667
nearestDiff_var8,508.4787415384615
raing3_ratio,507.8636833333333
last2_action_submit_order_time_delta,505.6938166666667
actiontime_lasttime_mean,503.37468989501383
histord_time_last_1_year,500.976
month_3_count,497.7050360000002
action_counts,497.64303684210523
action_last_2,495.7317166666666
action_type_710_time_delta_mean,491.0822
month_12_count,490.94258846153843
type_1to2valuemean,490.64573555555546
nearestInterval_min8,488.7176034482759
action_1_num_after_last_order,486.2535387755102
browse_product3_max_delta,483.10882499999997
raing4_ratio,480.5805066666666
nearestActiontime2,479.69374583333337
nearestActiontime8,478.9645842105263
201611,477.7354117647059
last_time_order_weekofyear,477.6680399999999
nearestDiff_max9,475.00634
fillin_form7_max_delta,473.8263
last_order_timestamp_from_now_delta_vs_last_ratio,472.7878625000001
open_num_after_last_order,472.7320074074075
browse_product3_mean_delta,472.4510194444444
fillin_form7_pay_money_ratio,471.48947
type_4to1valuemean,469.93616635944716
user_rating_std,469.437493220339
last2_action_fillin_form5_time_delta,469.14773347280317
browse_product_mean_delta,466.13170999999994
province_code,466.0697753644314
actiontime_last_2,461.67089114470804
nearestDiff_mean7,460.9313548117156
avg_rating_type0,459.01757938144334
month_4_count,458.3023317073173
month_11_count,456.62017534246576
last_action_pay_money_time_delta,453.76945
count_234_9_rate,452.07813333333337
finalAction_rate_5,451.8251888888889
nearestInterval_min2,451.3722419117646
nearestTime2,444.02163809523813
last_action_browse_product2_time_delta,443.85790666666674
order_vs_actiontype_2_ratio,443.3133142857142
last_time_order_month,442.91525
two_gram_12_time_mean,442.3949894736841
last_time_country,440.948309589041
last2_action_fillin_form6_time_delta,440.43918085106395
last_order_timestamp,438.30395555555566
avg_browse_num_after_last_order,436.3332105263158
timespan_action5tolast,433.16880648464144
submit_order_ratio,432.87183461538467
city_rich,432.8325241935485
234_9_diff_time,429.83805144508665
rating,428.0635438888888
finalAction_6,426.20746272727274
order_vs_actiontype_7_ratio,425.9272
last2_action_browse_product3_time_delta,423.88305
last_time_order_now_action_open_app_count,422.82392499999986
nearestTime9,418.649325
last_action_browse_product3_time_delta,417.7602053571428
actiontypeprop_8,417.59945476190467
last_browse_product_action_count,417.46333125
timespan_action24tolast,415.24996119873816
nearestDiff_min8,407.75970000000007
nearestDiff_max2,407.5559609756097
action_type_56_time_delta_mean,407.53433594890527
actiontimespanlast_5_8,406.3382093750001
three_gram_567_last_time,405.23209142857144
timespanmin_last_3,404.78240920162403
action_type_58_time_delta_mean,404.37116222222227
type_4to3valueamin,404.00172226980703
nearestInterval_var6,401.45379619047617
action_type_56_time_delta_last3,395.13194340659305
finalAction_2,394.90707741935483
action_last_4,390.4209751072961
raing1_ratio,388.2411218750001
fillin_form6_std_delta,385.82787854545415
action_type_68_time_delta_mean,385.42052857142863
nearestInterval_mean6,383.7209635097496
actiontype_seq_kalman_min,382.64781075697226
fillin_form6_min_delta,382.5789961876833
browse_product2_std_delta,381.8423133333333
nearestDistance2,380.7135038461538
last_time_order_now_action_browse_product3_count,380.0597249999999
fillin_form5_max_delta,378.2794209302323
nearestDistance4,377.97149761904757
browse_product3_std_delta,377.84347222222215
last2_action_open_app_time_delta,375.41123588850184
actiontype_lasttime_8,372.03325416666667
nearestDiff_min3,370.1840333333333
operate_num_after_last_order,370.0559410256411
action_type_45_time_delta_max,366.20241904761906
month_5_count,364.73844266666663
nearestInterval_mean4,363.4793903846154
action_type_16_time_delta_min,362.0276359793816
type_2to2valuemean,361.43213679999997
2016_year_pay_money_count,361.34696774193554
action_type_45_time_delta_min,360.1218428571429
userid,354.82490035756877
