feature,gains
goodorder_vs_actiontype_1_ratio,1434.9840000000002
isOrder,781.6055334375004
total_good_order_ratio,732.9353438596496
has_good_order,598.6288540322574
goodorder_vs_actiontype_5_ratio,253.12028181818178
nearestDistance1,124.2233506626507
country_rich,105.22199283783776
action_type_511_time_delta_max,92.70205
action_type_511_time_delta_min,82.9377
finalAction_4,81.73584540000003
goodorder_vs_actiontype_6_ratio,71.92395714285713
two_gram_last_sum,70.33887565284968
actiontimespanlast_5_6,53.33368967996688
type_3to4valuemean,49.989002719402976
type_last1,47.500518928571424
action_last_1,40.68624517699117
actiontypeprop_4,39.74547687581698
nearestDiff_min7,38.284357022184835
browse_product3_mean_delta,38.109421999999995
country_avg_rich,37.84652048620681
browse_product3_pay_money_ratio,36.64978150000001
last_-1_x_actiontype,34.394327919597956
actiontimespancount_5_6,34.11487451497009
type_3to4valueamin,33.980376836144565
action_1_num_after_last_order,29.501272040816318
nearestDiff_mean7,29.11754021087866
browse_product3_ratio,28.908970689189186
nearestInterval_min7,27.445375605524877
nearestInterval_min4,27.124876015384608
two_gram_action_45_ratio,25.864945626865683
timespan_action6tolast,25.477880132616487
two_gram_45_time_std,24.468196882352938
action_type_56_time_delta_min,24.112143849918418
open_num_after_last_order,21.900790740740742
last_time_order_now_action_fillin_form6_count,21.692245840677966
browse_product3_max_delta,21.1415475
nearestInterval_mean6,20.14926813732591
actiontimespanlast_6_7,20.021126129032258
type_3to3valueamin,19.41573254941393
last_time_order_now_action_browse_product3_count,18.560435000000002
nearestInterval_var4,18.256239622641505
browse_product3_std_delta,18.07251880555556
nearestTime5,17.486110960496887
finalAction_rate_1,16.9685625
nearestDiff_mean4,16.591983646616562
last_time_days_from_now,15.935191173469379
nearestDiff_var7,15.853366595744683
actiontimespancount_6_7,15.06423679735682
operate_num_after_last_order,15.06297153846154
avg_operate_num_after_last_order,14.941924829870137
action59seqentialratio,14.681682178571421
nearestInterval_var6,14.600560311111101
nearestInterval_max6,14.362956262323946
nearestInterval_var7,14.213588899999984
last_action_fillin_form5_time_delta,14.033864836477985
action_7_num_after_last_order,13.9624
nearestInterval_mean4,13.949352884615385
timespan_action5tolast,13.846793747679184
nearestTime7,13.35089760869565
201611,13.25994529411765
timespan_action24tolast,13.129340360567845
nearestInterval_min6,13.096124233556155
last2_action_browse_product3_time_delta,13.05040613863636
nearestTime4,13.039352424242425
2017_order_country_count,12.9609
nearestTime6,12.802870791999995
raing2_ratio,12.736201904761899
nearestInterval_min5,12.619559610944883
histord_time_last_1_year,12.576
has_comment_flag,12.448369320000001
action_type_67_time_delta_min,12.382495576992484
action_4_num_after_last_order,12.048518578947368
nearestDistance7,12.008376800000008
action_6_num_after_last_order,11.965552961904754
actiontime_last_1,11.927302943550291
timespanmin_last_3,11.675265878349117
last_order_timestamp_from_now_delta,11.562466479999998
timespanmean_last_5,11.541150803389813
three_gram_567_time_max,11.47798835211268
type_4to4valuemean,11.406519381094016
actiontype_lasttime_6,11.398219651162789
last_time_order_month,11.269745
nearestInterval_max9,11.2417
timespanmin_last_6,11.210923240997227
nearestDiff_var4,11.126311395348838
fillin_form5_min_delta,10.991702572492848
actiontypeproplast20_4,10.949719347826088
last_action_fillin_form6_time_delta,10.91336207964602
raing3_ratio,10.911231388888892
raing4_ratio,10.844450499999999
city_avg_rich,10.60119416986302
action_type_67_time_delta_mean,10.401769404907983
actiontime_last_2,10.326421092872577
finalAction_rate_5,10.211575555555555
201703,10.18866857142857
actiontime_lasttime_mean,10.067176112467193
last_fillin_form7_action_count,10.063770697674421
timespan_action1tolast,9.980840614456516
user_rating_std,9.975100677966093
avg_rating_type0,9.96560644329897
action_type_67_time_delta_max,9.950204943573665
last_order_timestamp,9.92953858730159
rating_last_order,9.782754285714285
finalAction_5,9.778774323671497
nearestDistance4,9.699906428571431
last_browse_product3_action_count,9.693610909090914
last_fillin_form5_action_count,9.615694115384615
finalAction_8,9.604985
raing1_ratio,9.580255093749999
actiontype_lasttime_5,9.57401390780141
last_pay_money_action_count,9.51588
rating,9.476402500000003
action_type_510_time_delta_min,9.413919647343002
browse_product_ratio,9.308890645833335
timespan_action7tolast,9.254124902837683
fillin_form5_ratio,9.182857443447041
timespanmean_last_3,9.159389646167892
avg_rating,9.136137636815919
finalAction_6,9.130862350909092
timespan_last_1,9.105452744779583
count_234_5_rate,9.102310626728109
nearestActiontime5,9.082052641216212
nearestDistance6,8.956934246575338
last_order_timestamp_from_now_delta_vs_last_ratio,8.936620000000003
201612,8.916043333333334
timespanmin_last_8,8.908039078996858
last_time_order_weekofyear,8.898779000000001
action_last_2,8.875712666666665
fillin_form6_pay_money_ratio,8.83262145382585
actiontime_last_1_month,8.786567029126212
timeInterval_min,8.743962229629629
city_rich,8.657213185483867
last_time_continent,8.630396666666668
month_action_count,8.606528000000004
last_time_order_now_action_fillin_form7_count,8.600847499999999
two_gram_45_time_mean,8.534196111111111
action_type_510_time_delta_mean,8.476327695906432
most_free_month,8.473821063157896
timespan_action8tolast,8.41701536379018
actiontime_last_3,8.415549502145922
actiontypeproplast20_6,8.35237216129032
finalAction_7,8.259024
timespanmin_last_7,8.177789436200714
last_time_x_actiontypr_mean,8.145077349230762
