feature,importance
finalAction_4,0.0325018173687
isOrder,0.0307077298278
finalAction_8,0.0255245893455
finalAction_rate_1,0.0182749467178
finalAction_3,0.01544483974
nearestDiff_min7,0.01532081174
finalAction_7,0.015034912817
type_last1,0.014527286413
nearestDiff_mean9,0.0143184169226
nearestDiff_mean4,0.0141560750137
nearestDistance9,0.0138530229248
action5_rate,0.0134102083743
nearestDiff_var9,0.0133466979421
nearestDistance3,0.0128555983683
action2345_rate,0.0126382263004
nearestActiontime9,0.0125794312025
nearestDiff_mean8,0.0125066117623
nearestInterval_min4,0.0122857869727
nearestDistance7,0.0119630642657
action1o2_rate,0.0119443075684
nearestDiff_var7,0.0118531456637
action56_rate,0.0111704934441
nearestTime7,0.0105425553765
nearestInterval_var9,0.0103084929557
type_first1,0.0102633617172
nearestDiff_mean3,0.0101500098516
nearestInterval_mean8,0.00994998614592
nearestInterval_var7,0.00991943161308
finalAction_5,0.00990256154541
nearestInterval_mean3,0.00971848134261
nearestInterval_var8,0.00958681592492
nearestDistance6,0.00954264347086
nearestTime5,0.00931416324296
nearestInterval_mean9,0.00921006650735
nearestDiff_mean2,0.00909228316752
finalAction_6,0.00877457875543
nearestDiff_min3,0.00865344191002
nearestTime3,0.00864946943146
nearestInterval_min3,0.00848193190774
finalAction_2,0.0084525649931
nearestTime9,0.00833369847043
nearestDiff_min9,0.0082808721509
nearestDiff_var8,0.00817820631975
timeInterval_min,0.00802562533129
nearestInterval_min9,0.00792385295783
nearestTime8,0.00786936708926
nearestInterval_min7,0.00783338579404
nearestDiff_max9,0.00772240987143
nearestDiff_mean7,0.00768123270316
nearestDiff_var4,0.0075560617826
finalAction_rate_5,0.00747699288676
nearestInterval_min5,0.00739454866263
nearestActiontime4,0.00735572765352
finalAction_1,0.00734218235427
nearestInterval_min8,0.00706276894238
nearestInterval_mean4,0.00697548520648
nearestActiontime2,0.00676920391375
nearestTime4,0.00666044550156
nearestDistance4,0.00664494169038
nearestActiontime3,0.00660704021009
nearestInterval_max9,0.00628612703716
nearestInterval_var4,0.0062708224524
nearestDiff_min8,0.00624497602019
nearestInterval_mean6,0.00619336611522
nearestInterval_min2,0.00618338264267
nearestInterval_var3,0.00617503378914
nearestDistance5,0.00613710066093
nearestInterval_min6,0.00612231455817
nearestActiontime8,0.00609588680711
nearestInterval_max6,0.00609543237794
nearestDistance2,0.00606683169263
nearestActiontime5,0.0060615994923
nearestTime2,0.00582643016571
nearestDiff_max8,0.00576681749889
nearestDiff_max2,0.00574619574767
nearestInterval_var6,0.00567546520266
nearestDiff_var2,0.00561439834946
nearestDistance1,0.00560636870603
nearestInterval_max8,0.00554363901176
nearestTime6,0.0055259829793
finalAction_len,0.00549270696824
nearestActiontime1,0.00538852880787
nearestActiontime6,0.00537906952249
nearestInterval_mean2,0.00536591120307
isHistory,0.00531345760036
nearestInterval_max2,0.00524429302442
nearestDiff_var3,0.00523166946731
nearestDiff_max7,0.00497223707118
buyCount,0.00495643953902
nearestDiff_max3,0.00489281660113
timeInterval_mean,0.00484750050116
nearestInterval_max3,0.00484471442451
nearestDistance8,0.00483157965104
nearestDiff_var6,0.00483009874003
nearestDiff_max5,0.00474164979135
buyactionTime_mean,0.00472362345697
nearestDiff_min4,0.00472109366708
nearestDiff_min2,0.00470343150586
finalAction_rate_7,0.00456820675529
nearestInterval_max4,0.00440835687487
timeDiff_min,0.00437241457983
finalAction_time,0.00436321107137
nearestDiff_mean6,0.00435445020305
nearestInterval_var2,0.00435239238397
nearestDiff_min5,0.00435025860552
buyactionTime_max,0.00433053510227
timeDiff_first,0.00432090579555
nearestDiff_max4,0.00430290194222
nearestDiff_var5,0.00426026405527
nearestTime1,0.0042335027789
nearestActiontime7,0.00422269028189
timeDiff_var,0.00419786381334
action6789_rate,0.0041406071409
nearestDiff_max6,0.00409024823765
timeInterval_last,0.00404343522132
timeInterval_first,0.00395010455673
nearestDiff_min6,0.00392598235486
nearestDiff_mean5,0.00386946498228
nearestInterval_mean5,0.00383125195456
nearestInterval_var5,0.00373896655643
timeDiff_mean,0.00358650447455
timeInterval_var,0.00356647052496
buyactionTime_min,0.00348720183071
nearestInterval_max5,0.00347888441819
buyactionTime_var,0.00341469445727
nearestInterval_max7,0.00304877409474
nearestInterval_mean7,0.00283341362284
action7_rate,0.00200509413543
action1_rate,0.00145490636337
finalAction_rate_6,0.0
historyTime_fl,0.0
historyTime_last,0.0
historyTime_first,0.0
action9_rate,0.0
action6_rate,0.0
action8_rate,0.0
finalAction_rate_4,0.0
action4_rate,0.0
action3_rate,0.0
finalAction_rate_9,0.0
finalAction_9,0.0
finalAction_rate_2,0.0
finalAction_rate_3,0.0
finalAction_rate_8,0.0
action2_rate,0.0
