feature,weights
actiontimespanlast_5_6,1814
last_-1_x_actiontype,1791
userid,1678
nearestInterval_min5,1270
timespan_action24tolast,1268
5_6_diff_time,1249
type_3to4valuemean,1139
actiontime_1,1139
type_3to3valueamin,1109
type_4to4valuemean,1042
action_type_16_time_delta_min,970
type_4to3valueamin,934
timespan_action1tolast,920
1_5_diff_time,907
timespan_action7tolast,881
timespan_action5tolast,879
type_3to3valuemean,871
timespan_last_1,862
type_4to3valuemean,854
last_time_x_actiontypr_mean,845
actiontime_last_1,845
actiontimespancount_5_6,835
type_3to4valueamin,830
nearestTime5,805
actiontime_lasttime_mean,762
nearestInterval_min6,748
timespan_last_2,745
timespanmin_last_3,739
type_3to1valueamin,739
action_type_56_time_delta_last3,728
actiontimespanlast_1_5,722
nearestInterval_mean6,718
timespan_total,707
type_1to3valuemean,705
province_code,686
type_1to1valuemean,683
type_4to1valuemean,651
actiontype_seq_kalman_max,650
action_type_56_time_delta_min,613
actiontypeprop_std,600
5_9_diff_time,597
nearestDiff_min7,595
timespan_action8tolast,591
type_4to4valueamin,588
actiontime_lasttime_std,578
actiontimespancount_1_5,573
type_3to1valuemean,571
nearestInterval_max6,568
actiontype_seq_kalman_mean,567
actiontypeprop_5,565
timespan_action6tolast,558
fillin_form5_ratio,557
timespan_last_3,551
action_type_56_time_delta_mean,548
timespanmean_last_3,548
nearestInterval_min7,543
timeInterval_min,540
actiontype_seq_kalman_std,537
timespan_last_5,533
action_type_56_time_delta_std,516
actiontypeprop_6,514
type_4to1valueamin,511
type_1to3valueamin,504
type_1to1valueamin,502
timespan_last_4,495
open_app_min_delta,484
timespanstd_last_3,464
actiontime_last_2,463
actiontype_lasttime_1,451
timespanmin_last_4,444
timespanmax_last_3,442
action_type_56_time_delta_last2,441
timespan_action9tolast,428
timespanmean_last_4,426
fillin_form6_ratio,425
action_type_16_time_delta_mean,425
timespan_last_7,422
timespan_last_6,417
timespanmax_last_4,414
finalAction_5,414
timespanmean_last_5,413
fillin_form5_mean_delta,406
timespanmin_last_5,402
action_type_15_time_delta_mean,397
timespanstd_last_4,395
fillin_form6_pay_money_ratio,379
last2_action_fillin_form6_time_delta,376
nearestTime6,375
timespan_last_8,371
city_avg_rich,365
timespanmean_last_9,363
timespanmin_last_6,361
timespanmean_last_8,359
open_app_mean_delta,351
timespan_last_9,350
fillin_form5_min_delta,349
action_type_15_time_delta_max,348
action_type_16_time_delta_std,348
action_type_16_time_delta_max,348
fillin_form5_max_delta,344
fillin_form6_min_delta,341
timespanstd_last_9,340
last_action_fillin_form6_time_delta,339
actionratio_24_59,338
action_type_15_time_delta_min,336
timespanmean_last_6,332
timespanmax_last_9,329
timespanmax_last_6,326
action_type_56_time_delta_max,322
timespanmax_last_5,320
action_type_67_time_delta_max,319
timespanmin_last_8,319
action_type_15_time_delta_std,317
nearestInterval_var6,315
actiontime_seq_fft_real_0,315
timespanmean_last_7,313
timespanstd_last_5,305
actiontypeprop_1,305
timespanmax_last_8,304
actiontype_lasttime_6,301
fillin_form6_mean_delta,297
fillin_form5_std_delta,296
actiontime_seq_fft_real_1,295
last_time_order_now_action_fillin_form6_count,295
country_avg_rich,290
last2_action_open_app_time_delta,287
timespanstd_last_6,283
actiontype_lasttime_5,282
fillin_form6_max_delta,281
timespanmin_last_7,279
fillin_form6_std_delta,275
timespanstd_last_8,273
fillin_form5_pay_money_ratio,268
actiontime_seq_fft_real_2,268
type_2to3valuemean,263
most_free_month_action_count,262
timespanstd_last_7,261
open_app_ratio,253
actiontype_seq_kalman_min,251
timespanmin_last_9,244
last2_action_fillin_form5_time_delta,239
nearestDiff_mean7,239
timespanmax_last_7,237
action_last_4,233
actiontime_last_3,233
actiontimespancount_6_7,227
last_time_order_now_action_fillin_form5_count,224
finalAction_6,220
last_action_open_app_time_delta,220
actiontimespanlast_6_7,217
actiontypeproplast20_6,217
count_234_5_rate,217
open_app_pay_money_ratio,217
open_app_max_delta,210
actiontime_last_5,209
last_time_order_now_action_total_count,209
action_type_510_time_delta_min,207
actiontime_last_1_month,206
avg_rating,201
avg_rating_type0,194
two_gram_last_sum,193
most_free_month,190
last_time_city,189
actiontime_last_4,186
open_app_std_delta,185
rating,180
finalAction_4,175
nearestDiff_mean2,174
234_9_diff_time,173
action_type_510_time_delta_max,172
action_type_510_time_delta_mean,171
gender_None,165
month_4_count,164
action_type_67_time_delta_mean,163
actiontype_seq_kalman_real_2,163
last_action_fillin_form5_time_delta,159
actiontime_last_6,158
avg_operate_num_after_last_order,154
type_4to2valuemean,154
